ast,blk,dreb,fg3a,fg3m,fg_pct,fga,fgm,fta,ftm,id,pf,pts,reb,stl,turnover,game_id,home_team_id,home_team_score,visitor_team_id,visitor_team_score,season,player_id,team_id,team_score,min_played,eFG%,TS%,oreb,PER
3,1,2,0,0,0.0,1,0,2,1,473360,3,1,5,0,1,19769,2,117,17,97,2006,1513,2,117,20.0,0.0,26.595744680851062,3,0.925
4,0,2,5,1,0.417,12,5,6,5,489087,1,16,3,1,0,23818,10,122,13,105,2007,1184,13,105,35.3,45.83333333333333,54.64480874316939,1,0.679886685552408
1,0,0,2,0,0.286,7,2,0,0,495660,2,4,2,0,0,21992,21,123,28,115,2007,1700,28,115,14.0,28.57142857142857,28.57142857142857,2,0.46428571428571425
4,0,1,4,0,0.375,8,3,3,3,502298,2,9,1,1,2,22356,5,96,18,85,2007,1547,18,85,30.283333333333335,37.5,48.283261802575105,0,0.39625756741882223
2,2,7,0,0,0.556,9,5,5,1,502345,3,11,9,2,2,22809,3,87,17,80,2007,1593,17,80,39.0,55.55555555555556,49.10714285714286,2,0.8974358974358974
1,0,4,1,1,0.375,8,3,2,2,512368,0,9,6,0,1,23741,7,97,29,94,2007,1219,7,97,29.416666666666668,43.75,50.67567567567567,2,0.7648725212464589
0,2,3,0,0,0.545,11,6,4,0,520095,3,12,8,1,5,22239,14,111,11,82,2008,1445,11,82,27.0,54.54545454545454,47.02194357366771,5,0.9259259259259258
3,0,0,1,0,0.5,4,2,1,1,524461,2,5,0,1,3,23653,8,91,27,108,2008,1224,8,91,21.183333333333334,50.0,56.3063063063063,0,0.25963808025177026
0,0,1,1,0,0.0,1,0,0,0,524413,1,0,1,0,2,21584,19,104,24,91,2008,1303,19,104,4.0,0.0,0.0,0,0.0
0,0,4,1,1,0.6,5,3,0,0,533297,2,7,4,0,0,22169,15,88,3,99,2008,1496,3,99,21.0,70.0,70.0,0,0.8095238095238095
0,0,1,0,0,1.0,1,1,0,0,537758,1,2,2,0,1,23311,30,67,27,98,2008,1748,30,67,6.0,100.0,100.0,1,1.1666666666666665
2,0,5,0,0,0.455,11,5,1,0,569973,3,10,7,1,5,24154,7,101,14,96,2009,1226,7,101,42.0,45.45454545454545,43.70629370629371,2,0.5476190476190476
3,0,2,3,0,0.455,11,5,6,5,592001,4,15,4,2,0,24484,18,113,19,98,2010,20,19,98,36.733333333333334,45.45454545454545,54.98533724340176,2,0.721415607985481
1,0,2,3,0,0.5,10,5,2,1,603020,1,11,3,1,1,26902,2,107,10,103,2010,1587,10,103,28.45,50.0,50.55147058823529,1,0.5448154657293498
1,0,1,5,2,0.4,10,4,5,3,613949,0,13,1,1,0,24522,14,92,8,89,2011,1757,8,89,25.55,50.0,53.278688524590166,0,0.410958904109589
0,0,4,0,0,0.333,6,2,4,3,614001,2,7,7,0,1,24895,27,104,29,89,2011,153,29,89,23.0,33.33333333333333,45.103092783505154,3,0.9565217391304348
4,0,4,0,0,0.5,6,3,2,1,630585,3,7,6,2,4,27159,11,109,10,83,2011,1747,10,83,24.0,50.0,50.872093023255815,2,1.0416666666666665
0,1,2,0,0,0.5,6,3,0,0,637300,1,6,6,0,1,29092,12,103,9,97,2011,1940,9,97,14.0,50.0,50.0,4,1.5
0,3,3,0,0,0.571,7,4,4,3,637422,4,11,5,1,0,29767,17,92,28,86,2011,453,17,92,29.0,57.14285714285714,62.78538812785388,2,0.896551724137931
7,0,5,4,2,0.4,5,2,0,0,650723,2,6,6,2,3,31292,14,100,20,94,2012,908,20,94,34.0,60.0,60.0,1,0.8970588235294118
7,1,8,7,2,0.5,14,7,2,2,650787,2,18,8,2,4,32094,1,126,9,119,2012,481,1,126,47.733333333333334,57.14285714285714,60.483870967741936,0,0.9322625698324022
1,2,4,0,0,0.625,8,5,0,0,677526,5,10,6,0,1,30999,17,79,21,92,2013,205,17,79,16.0,62.5,62.5,2,1.71875
2,0,3,4,3,0.5,14,7,2,2,684290,1,19,3,0,0,30497,22,98,20,103,2013,17,20,103,24.433333333333334,60.71428571428571,63.844086021505376,0,0.9822646657571623
7,0,4,3,0,0.286,7,2,0,0,690929,1,4,4,0,2,32155,5,86,18,95,2013,29,18,95,18.0,28.57142857142857,28.57142857142857,0,1.0833333333333333
5,0,12,0,0,0.375,24,9,2,2,690936,4,20,14,3,2,32155,5,86,18,95,2013,1410,5,86,37.0,37.5,40.19292604501608,2,1.5
2,0,4,0,0,0.5,6,3,2,1,736434,4,7,5,1,3,31519,7,101,11,108,2014,1987,11,108,22.0,50.0,50.872093023255815,1,0.8636363636363636
4,2,15,5,0,0.313,16,5,0,0,751923,2,10,18,0,1,27417,10,89,6,83,2015,285,6,83,39.28333333333333,31.25,31.25,3,1.5273652948663556
2,0,5,0,0,0.5,6,3,2,2,775044,4,8,7,1,1,34149,24,94,26,113,2016,273,24,94,24.15,50.0,58.139534883720934,2,1.2008281573498965
1,3,4,0,0,1.0,4,4,0,0,800321,4,8,8,0,1,35547,11,117,6,112,2016,444,6,112,33.083333333333336,100.0,100.0,4,1.0730478589420656
3,1,5,9,6,0.667,24,16,6,6,10804630,3,44,5,3,2,474395,4,101,2,115,2021,434,2,115,38.0,79.16666666666666,82.58258258258257,0,1.513157894736842
0,0,0,0,0,1.0,1,1,0,0,10784834,2,2,0,0,0,474385,15,132,19,111,2021,3547285,15,132,7.0,100.0,100.0,0,0.2857142857142857
6,0,1,3,1,0.333,24,8,12,11,9197594,3,28,3,3,3,473942,12,106,5,108,2021,125,5,108,35.0,35.41666666666667,47.81420765027322,2,0.8285714285714285
