id,first_name,last_name,position,team_id
2859,Robert,Parish,,2
50793,Isaac,Humphries,C,22
17553946,Nick,Mayo,F,10
4196803,Augusto,Binelli,C,1
666467,Amida,Brimah,C,12
17896113,Devontae,Shuler,G,7
1771,Joakim,Noah,,13
3547290,Josh,Hall,F,21
17895751,John,Mooney,F,17
46389686,Roy,Hurley,,41
46391386,Bud,Grant,,14
46394525,Bill,Kenville,,23
46400735,Nate,Thurmond,,10
46406956,Edward,Davis,,17
46405381,Ed,Biedenbach,,24
666873,Isaiah,Roby,F,20
46407002,John,Tschogl,,1
547,Mark,Alarie,,30
551,Scott,Skiles,,22
593,Moses,Malone,,1
814,James,Robinson,,25
825,Darren,Morningstar,,7
1009,Antoine,Walker,F,2
1161,Jason,Williams,G,26
1378,Shane,Battier,F,15
1407,Efthimios,Rentzias,,23
1808,Jason,Thompson,,26
2613,Carl,Bailey,,25
2715,Butch,Graves,,6
2858,Dave,Popson,,2
2968,Gary,Payton,,21
3046,Darnell,Valentine,,6
3066,Jawann,Oldham,,12
3071,Tony,Harris,,23
46391433,Gene,Englund,,1
46392452,Cal,Christensen,,1
46394540,Ed,Smith,,20
46398154,Bob,Ferry,,1
46394002,Jim,Baechtold,,45
46409573,Mo,Howard,,29
469,T.J.,Warren,F,24
161,De'Aaron,Fox,G,26
666530,Terence,Davis,G,26
46411588,Cornelius,Cash,,9
626,Scott,Hastings,,9
1406,John,Salmons,,23
1462,Mike,Wilks,G,1
1531,Erik,Daniels,,26
1825,Steven,Hill,,21
2892,Vern,Fleming,,12
3022,Rod,Strickland,,27
666502,Zylan,Cheatham,F,19
9177971,Devin,Cannady,G,22
46396618,Jim,Ray,,23
214,Jrue,Holiday,G,17
46405416,Stan,Love,,30
46405438,Cliff,Meely,,11
46409576,Henry,Ward,,27
131,Donte,DiVincenzo,G,10
46403270,Matt,Guokas,,23
17896023,Josh,Christopher,G,11
197,Joe,Harris,F-G,3
632,Clyde,Drexler,,25
